corruption_rate,adversary_type,aggregator,mean_utility,trimmed_mean_utility,ci_low_utility,ci_high_utility,mean_fairness,trimmed_mean_fairness,ci_low_fairness,ci_high_fairness,mean_worst_group,mean_regret,ci_alpha
0.0,coordinated,confidence_weighted,0.4546232800295114,0.4546837687284698,0.4447242114388385,0.4637758593054371,0.9345704881034913,0.9393914360371476,0.9338689385464132,0.9446440285568491,0.31452704616520216,0.015461690647253024,0.1
0.0,coordinated,ema_trust,0.4546232800295114,0.4546837687284698,0.4447242114388385,0.4637758593054371,0.9345704881034913,0.9393914360371476,0.9338689385464132,0.9446440285568491,0.31452704616520216,0.015461690647253024,0.1
0.0,coordinated,majority_vote,0.45488895015578024,0.45501585638630593,0.44513881528017896,0.4639440843970135,0.9342384648392762,0.9389764069568785,0.9333728611870791,0.9442439164950988,0.3144812936905089,0.015196020520984154,0.1
0.0,coordinated,multiplicative_weights,0.4546232800295114,0.4546837687284698,0.4447242114388385,0.4637758593054371,0.9345704881034913,0.9393914360371476,0.9338689385464132,0.9446440285568491,0.31452704616520216,0.015461690647253024,0.1
0.0,coordinated,oracle,0.47008497067676447,0.46875114436778376,0.46007365445140097,0.47814745523045993,0.9228812245734036,0.9271674492139104,0.9213921119728781,0.9329798838310137,0.30525479261707356,0.0,0.1
0.0,coordinated,oracle_upper_bound,0.45490629333321925,0.4550416659667432,0.44488977598700985,0.4641993038396631,0.9343620508579369,0.9391431937498622,0.9335480211414786,0.9443340842542016,0.3143925816992439,0.015196020520984154,0.1
0.0,coordinated,random_dictator,0.4528129789177227,0.45303006401566215,0.44294585641556417,0.4623292499980142,0.9336090433145453,0.9386317768870768,0.9329185820137897,0.9444832200065221,0.3115115589280659,0.0172719917590417,0.1
0.0,coordinated,self_consistency,0.4556017441260913,0.4551205368188702,0.4452007301537348,0.4640890294363711,0.9348090962433426,0.9396357939855038,0.9341311443773724,0.9450411698805574,0.31533378816542706,0.014483226550673103,0.1
0.0,coordinated,supervisor_rerank,0.45431301783798905,0.45375577370697684,0.44345463993164386,0.46324419558929847,0.9338924373791028,0.9387531123666939,0.9330043686865601,0.9443585224706729,0.3125596405049328,0.01577195283877532,0.1
0.0,coordinated,trimmed_vote,0.4546788849394375,0.4544351128280809,0.4445869111008989,0.4635155050453128,0.9342627250008476,0.9390736380205285,0.933400114062439,0.9443749357460589,0.3142831338892732,0.015406085737326967,0.1
0.0,deceptive,confidence_weighted,0.4478539185303617,0.445274958963137,0.43691701751215506,0.4543148580292223,0.933768791661998,0.9368585409661264,0.9316154516369298,0.9421101139945801,0.30763746881663934,0.012813672362948853,0.1
0.0,deceptive,ema_trust,0.4478539185303617,0.445274958963137,0.43691701751215506,0.4543148580292223,0.933768791661998,0.9368585409661264,0.9316154516369298,0.9421101139945801,0.30763746881663934,0.012813672362948853,0.1
0.0,deceptive,majority_vote,0.4479027811311497,0.44533603721412207,0.43710791563330437,0.45448670045914186,0.9337000477764426,0.9367966378811943,0.9315816077324344,0.9420272295341466,0.30768585509415997,0.012764809762160894,0.1
0.0,deceptive,multiplicative_weights,0.4478539185303617,0.445274958963137,0.43691701751215506,0.4543148580292223,0.933768791661998,0.9368585409661264,0.9316154516369298,0.9421101139945801,0.30763746881663934,0.012813672362948853,0.1
0.0,deceptive,oracle,0.46066759089331055,0.4586357428128364,0.45007318405503005,0.46732746863015173,0.9226957761934983,0.92579991303679,0.919822173027941,0.931562153447358,0.2992580409853681,0.0,0.1
0.0,deceptive,oracle_upper_bound,0.44886024190139173,0.44641335546822314,0.4378852338244975,0.4558823972573019,0.9339363589758486,0.9370233309243658,0.9319722369896583,0.9421591360787125,0.30877098512423035,0.012764809762160894,0.1
0.0,deceptive,random_dictator,0.44895862523951285,0.4468442116365887,0.43886113068348254,0.45571845212291,0.9320776289750625,0.9347887199720611,0.929901120970847,0.9397585401179095,0.30652556575794504,0.011708965653797693,0.1
0.0,deceptive,self_consistency,0.44676881739245616,0.4439491915066,0.43607413426395575,0.45291198601076527,0.9333215957104686,0.9363505770399747,0.9310536152979293,0.9415332047006709,0.30712518020869817,0.01389877350085446,0.1
0.0,deceptive,supervisor_rerank,0.4453587441575635,0.4423052914856445,0.4338738393531725,0.45206908033535415,0.9330957142749824,0.9362491541762672,0.9312831696407279,0.9413485343132713,0.3054502567660765,0.015308846735747133,0.1
0.0,deceptive,trimmed_vote,0.4469294483923473,0.44423665391509404,0.43624397552935523,0.4534516969892159,0.9333050577408547,0.9364274746445009,0.9313590356848636,0.9413903106008923,0.3063355989474138,0.013738142500963288,0.1
0.0,scheduled,confidence_weighted,0.4592026061935583,0.4586169811271274,0.4493778524127286,0.46850903684877576,0.9281674181776621,0.9304638624777901,0.9247079290491583,0.9359893149304909,0.30581927905177264,0.011837849516415746,0.1
0.0,scheduled,ema_trust,0.45937523647819406,0.4589108189937665,0.4496657015876875,0.4685802638717876,0.9284471152886381,0.9308072315622585,0.9250817700882599,0.9362973897812884,0.306578899129127,0.011665219231780023,0.1
0.0,scheduled,majority_vote,0.4592026061935583,0.4586169811271274,0.4493778524127286,0.46850903684877576,0.9281674181776621,0.9304638624777901,0.9247079290491583,0.9359893149304909,0.30581927905177264,0.011837849516415746,0.1
0.0,scheduled,multiplicative_weights,0.4592026061935583,0.4586169811271274,0.4493778524127286,0.46850903684877576,0.9281674181776621,0.9304638624777901,0.9247079290491583,0.9359893149304909,0.30581927905177264,0.011837849516415746,0.1
