alpha,beta,run,aggregator,mean_utility,mean_fairness,mean_worst_group
0.0,0.0,0,multiplicative_weights,0.4345903674645339,0.9138437118352399,0.2768795823021112
0.0,0.0,0,majority_vote,0.4345903674645339,0.9138437118352399,0.2768795823021112
0.0,0.0,0,oracle,0.44429022234834875,0.9075780021156193,0.2744108705912884
0.0,0.0,1,multiplicative_weights,0.4506040787328889,0.9125534062007287,0.27980661058629236
0.0,0.0,1,majority_vote,0.4506040787328889,0.9125534062007287,0.27980661058629236
0.0,0.0,1,oracle,0.4684767622416245,0.9110118553167896,0.28742673730406415
0.0,0.25,0,multiplicative_weights,0.48724823831368624,0.9450971953982543,0.34657592882281363
0.0,0.25,0,majority_vote,0.48724823831368624,0.9450971953982543,0.34657592882281363
0.0,0.25,0,oracle,0.5008800459640793,0.9217947513740726,0.32189566596352204
0.0,0.25,1,multiplicative_weights,0.44598568898229035,0.9314638519943743,0.3039430937618664
0.0,0.25,1,majority_vote,0.44598568898229035,0.9314638519943743,0.3039430937618664
0.0,0.25,1,oracle,0.46457274795465325,0.9130685383485085,0.2875253530023995
0.0,0.5,0,multiplicative_weights,0.45806317098375754,0.9535558762831013,0.3468166944756596
0.0,0.5,0,majority_vote,0.45806317098375754,0.9535558762831013,0.3468166944756596
0.0,0.5,0,oracle,0.47434955601955064,0.9382861061617493,0.33129870726335936
0.0,0.5,1,multiplicative_weights,0.45841630309944115,0.93142906315565,0.3059143181607148
0.0,0.5,1,majority_vote,0.45841630309944115,0.93142906315565,0.3059143181607148
0.0,0.5,1,oracle,0.46438164017921607,0.92347578385846,0.3005102388889755
0.0,0.75,0,multiplicative_weights,0.45244573894198553,0.9399466398304421,0.3154911866025607
0.0,0.75,0,majority_vote,0.45244573894198553,0.9399466398304421,0.3154911866025607
0.0,0.75,0,oracle,0.45930982708648005,0.934831041787534,0.3104309740722843
0.0,0.75,1,multiplicative_weights,0.44168452321053825,0.936368738219527,0.30857571669286926
0.0,0.75,1,majority_vote,0.44168452321053825,0.936368738219527,0.30857571669286926
0.0,0.75,1,oracle,0.4612974193960714,0.9238367089615134,0.3016183156085837
0.0,1.0,0,multiplicative_weights,0.4572321296092472,0.9413194353981625,0.32503047732983076
0.0,1.0,0,majority_vote,0.4572321296092472,0.9413194353981625,0.32503047732983076
0.0,1.0,0,oracle,0.47695410253620624,0.9316285071613593,0.32748871686741515
0.0,1.0,1,multiplicative_weights,0.46210948849395306,0.933313562091486,0.3156790870304185
0.0,1.0,1,majority_vote,0.46210948849395306,0.933313562091486,0.3156790870304185
0.0,1.0,1,oracle,0.4790071871010949,0.921851212261502,0.31378087192638754
0.25,0.0,0,multiplicative_weights,0.4454283007407952,0.9245161939106291,0.2878274006291464
0.25,0.0,0,majority_vote,0.4454283007407952,0.9245161939106291,0.2878274006291464
0.25,0.0,0,oracle,0.4605924635110265,0.9192891333283292,0.28850706328666503
0.25,0.0,1,multiplicative_weights,0.45396675420573107,0.9228739830917291,0.30008462486152726
0.25,0.0,1,majority_vote,0.45396675420573107,0.9228739830917291,0.30008462486152726
0.25,0.0,1,oracle,0.46857654492519635,0.9091967729524273,0.29154711249007953
0.25,0.25,0,multiplicative_weights,0.4389124220760356,0.9163797248930483,0.28244169594029583
0.25,0.25,0,majority_vote,0.4389124220760356,0.9163797248930483,0.28244169594029583
0.25,0.25,0,oracle,0.4543741489272712,0.9041189727764994,0.2747200225977874
0.25,0.25,1,multiplicative_weights,0.474709924601055,0.9343941133476886,0.32188694649218486
0.25,0.25,1,majority_vote,0.474709924601055,0.9343941133476886,0.32188694649218486
0.25,0.25,1,oracle,0.4791242054937825,0.9248688597418311,0.3080562069709589
