corruption_rate,run,architecture,aggregator,mean_utility,mean_fairness,mean_worst_group
0.0,0,fh_hierarchical,majority_vote,0.4561102863930189,0.9284409619332935,0.30405134494250685
0.0,0,fh_hierarchical,oracle_upper_bound,0.4561102863930189,0.9284409619332935,0.30405134494250685
0.0,0,fh_hierarchical,self_consistency,0.4561102863930189,0.9284409619332935,0.30405134494250685
0.0,0,fh_hierarchical,ema_trust,0.4561102863930189,0.9284409619332935,0.30405134494250685
0.0,0,fh_hierarchical,trimmed_vote,0.4529722196618368,0.9286489325137421,0.3031267456678824
0.0,0,fh_hierarchical,multiplicative_weights,0.4529722196618368,0.9286489325137421,0.3031267456678824
0.0,0,fh_hierarchical,confidence_weighted,0.4529722196618368,0.9286489325137421,0.3031267456678824
0.0,0,fh_hierarchical,random_dictator,0.45349296387492605,0.9272453426662987,0.30243189010876004
0.0,0,fh_hierarchical,supervisor_rerank,0.44708668721944167,0.934604126192019,0.30684965405327025
0.0,0,fh_hierarchical,oracle,0.4677354674616706,0.9147426079057271,0.2900634087071476
0.0,0,flat,majority_vote,0.45697153309304495,0.9260413022090804,0.30198858677150525
0.0,0,flat,oracle_upper_bound,0.45767246193658384,0.9250195667086307,0.3002455358099606
0.0,0,flat,self_consistency,0.4560616815816817,0.9263454901913983,0.3018880186292717
0.0,0,flat,ema_trust,0.45697153309304495,0.9260413022090804,0.30198858677150525
0.0,0,flat,trimmed_vote,0.45767246193658384,0.9250195667086307,0.3002455358099606
0.0,0,flat,multiplicative_weights,0.45697153309304495,0.9260413022090804,0.30198858677150525
0.0,0,flat,confidence_weighted,0.45697153309304495,0.9260413022090804,0.30198858677150525
0.0,0,flat,random_dictator,0.4437452967992043,0.9259560589664118,0.2904177784948224
0.0,0,flat,supervisor_rerank,0.45170834332223975,0.923871463092375,0.2967595261684582
0.0,0,flat,oracle,0.4677354674616706,0.9147426079057271,0.2900634087071476
0.0,1,fh_hierarchical,majority_vote,0.44961814395854316,0.9270600689619864,0.30621655077473425
0.0,1,fh_hierarchical,oracle_upper_bound,0.44961814395854316,0.9270600689619864,0.30621655077473425
0.0,1,fh_hierarchical,self_consistency,0.44961814395854316,0.9270600689619864,0.30621655077473425
0.0,1,fh_hierarchical,ema_trust,0.44961814395854316,0.9270600689619864,0.30621655077473425
0.0,1,fh_hierarchical,trimmed_vote,0.44961814395854316,0.9270600689619864,0.30621655077473425
0.0,1,fh_hierarchical,multiplicative_weights,0.44961814395854316,0.9270600689619864,0.30621655077473425
0.0,1,fh_hierarchical,confidence_weighted,0.44961814395854316,0.9270600689619864,0.30621655077473425
0.0,1,fh_hierarchical,random_dictator,0.44961841364177835,0.9272255002107931,0.30587398902881374
0.0,1,fh_hierarchical,supervisor_rerank,0.4498364712430806,0.9258026150806563,0.30537115515190344
0.0,1,fh_hierarchical,oracle,0.4672161857496126,0.9110282273176634,0.29742314870963704
0.0,1,flat,majority_vote,0.4520249453075415,0.9264210850197053,0.30777666349281946
0.0,1,flat,oracle_upper_bound,0.4535489082722506,0.9208240919861953,0.30251509447178276
0.0,1,flat,self_consistency,0.44856704752585647,0.9283365292206148,0.30831073747039406
0.0,1,flat,ema_trust,0.4520249453075415,0.9264210850197053,0.30777666349281946
0.0,1,flat,trimmed_vote,0.4520249453075415,0.9264210850197053,0.30777666349281946
0.0,1,flat,multiplicative_weights,0.4520249453075415,0.9264210850197053,0.30777666349281946
0.0,1,flat,confidence_weighted,0.4520249453075415,0.9264210850197053,0.30777666349281946
0.0,1,flat,random_dictator,0.4400827759673495,0.9270449957856018,0.29734588661729033
0.0,1,flat,supervisor_rerank,0.43616800498167957,0.9252277261625337,0.2938683191644259
0.0,1,flat,oracle,0.4672161857496126,0.9110282273176634,0.29742314870963704
0.0,2,fh_hierarchical,majority_vote,0.4815722330505586,0.9396870579130797,0.3436781705449393
0.0,2,fh_hierarchical,oracle_upper_bound,0.4815722330505586,0.9396870579130797,0.3436781705449393
0.0,2,fh_hierarchical,self_consistency,0.4815722330505586,0.9396870579130797,0.3436781705449393
0.0,2,fh_hierarchical,ema_trust,0.4815722330505586,0.9396870579130797,0.3436781705449393
0.0,2,fh_hierarchical,trimmed_vote,0.4815489172306589,0.9365676192934137,0.3368800400796875
0.0,2,fh_hierarchical,multiplicative_weights,0.4820745178749592,0.9373402914448058,0.3394713938957207
0.0,2,fh_hierarchical,confidence_weighted,0.4820745178749592,0.9373402914448058,0.3394713938957207
0.0,2,fh_hierarchical,random_dictator,0.4815404168276356,0.9370494608002892,0.3365001671340698
0.0,2,fh_hierarchical,supervisor_rerank,0.4810466324062583,0.9389143857616876,0.3410868167289062
0.0,2,fh_hierarchical,oracle,0.49131243620008663,0.9230713685908088,0.325396602922629
0.0,2,flat,majority_vote,0.4823837349715161,0.9402853821708564,0.3446542011922137
0.0,2,flat,oracle_upper_bound,0.4838030036038872,0.9381403821533532,0.34049957194801705
0.0,2,flat,self_consistency,0.4815355533245476,0.9420534023414466,0.34394097211281377
0.0,2,flat,ema_trust,0.4823837349715161,0.9402853821708564,0.3446542011922137
0.0,2,flat,trimmed_vote,0.4823837349715161,0.9402853821708564,0.3446542011922137
0.0,2,flat,multiplicative_weights,0.4823837349715161,0.9402853821708564,0.3446542011922137
0.0,2,flat,confidence_weighted,0.4823837349715161,0.9402853821708564,0.3446542011922137
0.0,2,flat,random_dictator,0.4802900701222587,0.9362735825790339,0.3347311609055233
0.0,2,flat,supervisor_rerank,0.47608991474923507,0.9415658815559689,0.3412847509267467
