corruption_rate,adversary_type,aggregator,mean_utility,trimmed_mean_utility,ci_low_utility,ci_high_utility,mean_fairness,trimmed_mean_fairness,ci_low_fairness,ci_high_fairness,mean_worst_group,mean_regret,ci_alpha
0.0,coordinated,confidence_weighted,0.45449529615517315,0.45420562684775057,0.4444085019828177,0.46336705455625693,0.934154493109734,0.9390443739570873,0.9334866413202233,0.9444351551593873,0.3138175686145976,0.015589674521591258,0.1
0.0,coordinated,ema_trust,0.45449529615517315,0.45420562684775057,0.4444085019828177,0.46336705455625693,0.934154493109734,0.9390443739570873,0.9334866413202233,0.9444351551593873,0.3138175686145976,0.015589674521591258,0.1
0.0,coordinated,majority_vote,0.45449529615517315,0.45420562684775057,0.4444085019828177,0.46336705455625693,0.934154493109734,0.9390443739570873,0.9334866413202233,0.9444351551593873,0.3138175686145976,0.015589674521591258,0.1
0.0,coordinated,multiplicative_weights,0.45449529615517315,0.45420562684775057,0.4444085019828177,0.46336705455625693,0.934154493109734,0.9390443739570873,0.9334866413202233,0.9444351551593873,0.3138175686145976,0.015589674521591258,0.1
0.0,coordinated,oracle,0.47008497067676447,0.46875114436778376,0.46007365445140097,0.47814745523045993,0.9228812245734036,0.9271674492139104,0.9213921119728781,0.9329798838310137,0.30525479261707356,0.0,0.1
0.0,coordinated,oracle_upper_bound,0.4546396441489184,0.4543860618399321,0.44459144080880164,0.46354995311161273,0.9344879912906049,0.9394763396319604,0.9339303749054882,0.9447512914315025,0.3139517640665948,0.015589674521591258,0.1
0.0,coordinated,random_dictator,0.45449529615517315,0.45420562684775057,0.4444085019828177,0.46336705455625693,0.934154493109734,0.9390443739570873,0.9334866413202233,0.9444351551593873,0.3138175686145976,0.015589674521591258,0.1
0.0,coordinated,self_consistency,0.45449529615517315,0.45420562684775057,0.4444085019828177,0.46336705455625693,0.934154493109734,0.9390443739570873,0.9334866413202233,0.9444351551593873,0.3138175686145976,0.015589674521591258,0.1
0.0,coordinated,supervisor_rerank,0.4537311625282882,0.45331069043833894,0.44320179094147627,0.46260843452815836,0.9341261299939138,0.9390089200623123,0.9334258044269165,0.9445225020507456,0.31325328707783745,0.016353808148476173,0.1
0.0,coordinated,trimmed_vote,0.4545371856672801,0.45425798873788426,0.4445113241129465,0.4633792344502723,0.9343952035500444,0.9393452620074754,0.933785699788525,0.944744479773329,0.3141636405492193,0.015547785009484377,0.1
0.0,deceptive,confidence_weighted,0.4484278928868711,0.4463116198422311,0.4379886025790817,0.4553629333973137,0.9335645174533169,0.9367517992850788,0.931547544038564,0.9417584392944061,0.3076697015175377,0.012239698006439377,0.1
0.0,deceptive,ema_trust,0.4484278928868711,0.4463116198422311,0.4379886025790817,0.4553629333973137,0.9335645174533169,0.9367517992850788,0.931547544038564,0.9417584392944061,0.3076697015175377,0.012239698006439377,0.1
0.0,deceptive,majority_vote,0.4484278928868711,0.4463116198422311,0.4379886025790817,0.4553629333973137,0.9335645174533169,0.9367517992850788,0.931547544038564,0.9417584392944061,0.3076697015175377,0.012239698006439377,0.1
0.0,deceptive,multiplicative_weights,0.4484278928868711,0.4463116198422311,0.4379886025790817,0.4553629333973137,0.9335645174533169,0.9367517992850788,0.931547544038564,0.9417584392944061,0.3076697015175377,0.012239698006439377,0.1
0.0,deceptive,oracle,0.46066759089331055,0.4586357428128364,0.45007318405503005,0.46732746863015173,0.9226957761934983,0.92579991303679,0.919822173027941,0.931562153447358,0.2992580409853681,0.0,0.1
0.0,deceptive,oracle_upper_bound,0.4491614973770794,0.4467884459247754,0.438505032063197,0.45577347867558793,0.9333230178042657,0.9365273934484705,0.931349474900588,0.9415705557923273,0.30711291223007287,0.012239698006439377,0.1
0.0,deceptive,random_dictator,0.44803203485867527,0.4460304306932164,0.4376390062544972,0.4546834907451236,0.932990122631758,0.9363918202989867,0.9311562166026469,0.941582635593714,0.30630557405559655,0.01263555603463528,0.1
0.0,deceptive,self_consistency,0.4484278928868711,0.4463116198422311,0.4379886025790817,0.4553629333973137,0.9335645174533169,0.9367517992850788,0.931547544038564,0.9417584392944061,0.3076697015175377,0.012239698006439377,0.1
0.0,deceptive,supervisor_rerank,0.4482155015832546,0.4454040408735124,0.4372883907640113,0.4542543380999281,0.9335237393560815,0.9367704607313332,0.9317343035058078,0.9418506477365565,0.306772750954397,0.012452089310055878,0.1
0.0,deceptive,trimmed_vote,0.4484278928868711,0.4463116198422311,0.4379886025790817,0.4553629333973137,0.9335645174533169,0.9367517992850788,0.931547544038564,0.9417584392944061,0.3076697015175377,0.012239698006439377,0.1
0.0,scheduled,confidence_weighted,0.45860905118308226,0.4579449213145123,0.44885567167679524,0.4677621816210264,0.9276823548420423,0.9300016755506189,0.9241778701315775,0.9355405586745156,0.3050537095658907,0.012431404526891763,0.1
0.0,scheduled,ema_trust,0.45860905118308226,0.4579449213145123,0.44885567167679524,0.4677621816210264,0.9276823548420423,0.9300016755506189,0.9241778701315775,0.9355405586745156,0.3050537095658907,0.012431404526891763,0.1
0.0,scheduled,majority_vote,0.45860905118308226,0.4579449213145123,0.44885567167679524,0.4677621816210264,0.9276823548420423,0.9300016755506189,0.9241778701315775,0.9355405586745156,0.3050537095658907,0.012431404526891763,0.1
0.0,scheduled,multiplicative_weights,0.45860905118308226,0.4579449213145123,0.44885567167679524,0.4677621816210264,0.9276823548420423,0.9300016755506189,0.9241778701315775,0.9355405586745156,0.3050537095658907,0.012431404526891763,0.1
