round_id,aggregator,chosen_action_id,city_utility,unfairness_gap,fairness_jain,worst_group_utility,oracle_city_utility,regret,run,onset_round
0,majority_vote,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,oracle_upper_bound,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,self_consistency,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,ema_trust,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,trimmed_vote,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,multiplicative_weights,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,confidence_weighted,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,random_dictator,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,supervisor_rerank,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
0,oracle,B,0.3799744670039527,0.2512007735289694,0.9299615624648029,0.24101739673712733,0.3799744670039527,0.0,0,20
1,majority_vote,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,oracle_upper_bound,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,self_consistency,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,ema_trust,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,trimmed_vote,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,multiplicative_weights,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,confidence_weighted,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,random_dictator,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,supervisor_rerank,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
1,oracle,A,0.4902710685526137,0.4958847783296195,0.8328776587365148,0.18213178311341835,0.4902710685526137,0.0,0,20
2,majority_vote,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,oracle_upper_bound,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,self_consistency,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,ema_trust,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,trimmed_vote,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,multiplicative_weights,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,confidence_weighted,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,random_dictator,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,supervisor_rerank,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
2,oracle,A,0.49796221926504997,0.12384164921821339,0.9883779828652614,0.44945091949193783,0.49796221926504997,0.0,0,20
3,majority_vote,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,oracle_upper_bound,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,self_consistency,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,ema_trust,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,trimmed_vote,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,multiplicative_weights,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,confidence_weighted,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,random_dictator,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,supervisor_rerank,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
3,oracle,B,0.44597509823958353,0.17708617753512584,0.9730472408782181,0.3455442116831631,0.44597509823958353,0.0,0,20
4,majority_vote,B,0.3048432860654685,0.2171510269811918,0.9203559237523404,0.18671104524752344,0.3048432860654685,0.0,0,20
4,oracle_upper_bound,B,0.3048432860654685,0.2171510269811918,0.9203559237523404,0.18671104524752344,0.3048432860654685,0.0,0,20
