run,round_id,aggregator,agent_index,weight,onset_round
0,0,majority_vote,0,0.2,20
0,0,majority_vote,1,0.2,20
0,0,majority_vote,2,0.2,20
0,0,majority_vote,3,0.2,20
0,0,majority_vote,4,0.2,20
0,1,majority_vote,0,0.2,20
0,1,majority_vote,1,0.2,20
0,1,majority_vote,2,0.2,20
0,1,majority_vote,3,0.2,20
0,1,majority_vote,4,0.2,20
0,2,majority_vote,0,0.2,20
0,2,majority_vote,1,0.2,20
0,2,majority_vote,2,0.2,20
0,2,majority_vote,3,0.2,20
0,2,majority_vote,4,0.2,20
0,3,majority_vote,0,0.2,20
0,3,majority_vote,1,0.2,20
0,3,majority_vote,2,0.2,20
0,3,majority_vote,3,0.2,20
0,3,majority_vote,4,0.2,20
0,4,majority_vote,0,0.2,20
0,4,majority_vote,1,0.2,20
0,4,majority_vote,2,0.2,20
0,4,majority_vote,3,0.2,20
0,4,majority_vote,4,0.2,20
0,5,majority_vote,0,0.2,20
0,5,majority_vote,1,0.2,20
0,5,majority_vote,2,0.2,20
0,5,majority_vote,3,0.2,20
0,5,majority_vote,4,0.2,20
0,6,majority_vote,0,0.2,20
0,6,majority_vote,1,0.2,20
0,6,majority_vote,2,0.2,20
0,6,majority_vote,3,0.2,20
0,6,majority_vote,4,0.2,20
0,7,majority_vote,0,0.2,20
0,7,majority_vote,1,0.2,20
0,7,majority_vote,2,0.2,20
0,7,majority_vote,3,0.2,20
0,7,majority_vote,4,0.2,20
0,8,majority_vote,0,0.2,20
0,8,majority_vote,1,0.2,20
0,8,majority_vote,2,0.2,20
0,8,majority_vote,3,0.2,20
0,8,majority_vote,4,0.2,20
0,9,majority_vote,0,0.2,20
0,9,majority_vote,1,0.2,20
0,9,majority_vote,2,0.2,20
0,9,majority_vote,3,0.2,20
0,9,majority_vote,4,0.2,20
0,10,majority_vote,0,0.2,20
0,10,majority_vote,1,0.2,20
0,10,majority_vote,2,0.2,20
0,10,majority_vote,3,0.2,20
0,10,majority_vote,4,0.2,20
0,11,majority_vote,0,0.2,20
0,11,majority_vote,1,0.2,20
0,11,majority_vote,2,0.2,20
0,11,majority_vote,3,0.2,20
0,11,majority_vote,4,0.2,20
0,12,majority_vote,0,0.2,20
0,12,majority_vote,1,0.2,20
0,12,majority_vote,2,0.2,20
0,12,majority_vote,3,0.2,20
0,12,majority_vote,4,0.2,20
0,13,majority_vote,0,0.2,20
0,13,majority_vote,1,0.2,20
0,13,majority_vote,2,0.2,20
0,13,majority_vote,3,0.2,20
0,13,majority_vote,4,0.2,20
0,14,majority_vote,0,0.2,20
0,14,majority_vote,1,0.2,20
0,14,majority_vote,2,0.2,20
0,14,majority_vote,3,0.2,20
0,14,majority_vote,4,0.2,20
0,15,majority_vote,0,0.2,20
0,15,majority_vote,1,0.2,20
0,15,majority_vote,2,0.2,20
0,15,majority_vote,3,0.2,20
0,15,majority_vote,4,0.2,20
0,16,majority_vote,0,0.2,20
0,16,majority_vote,1,0.2,20
0,16,majority_vote,2,0.2,20
0,16,majority_vote,3,0.2,20
0,16,majority_vote,4,0.2,20
0,17,majority_vote,0,0.2,20
0,17,majority_vote,1,0.2,20
0,17,majority_vote,2,0.2,20
0,17,majority_vote,3,0.2,20
0,17,majority_vote,4,0.2,20
0,18,majority_vote,0,0.2,20
0,18,majority_vote,1,0.2,20
0,18,majority_vote,2,0.2,20
0,18,majority_vote,3,0.2,20
0,18,majority_vote,4,0.2,20
0,19,majority_vote,0,0.2,20
0,19,majority_vote,1,0.2,20
0,19,majority_vote,2,0.2,20
0,19,majority_vote,3,0.2,20
0,19,majority_vote,4,0.2,20
0,20,majority_vote,0,0.2,20
0,20,majority_vote,1,0.2,20
0,20,majority_vote,2,0.2,20
0,20,majority_vote,3,0.2,20
0,20,majority_vote,4,0.2,20
0,21,majority_vote,0,0.2,20
0,21,majority_vote,1,0.2,20
0,21,majority_vote,2,0.2,20
0,21,majority_vote,3,0.2,20
0,21,majority_vote,4,0.2,20
0,22,majority_vote,0,0.2,20
0,22,majority_vote,1,0.2,20
0,22,majority_vote,2,0.2,20
0,22,majority_vote,3,0.2,20
0,22,majority_vote,4,0.2,20
0,23,majority_vote,0,0.2,20
0,23,majority_vote,1,0.2,20
0,23,majority_vote,2,0.2,20
0,23,majority_vote,3,0.2,20
0,23,majority_vote,4,0.2,20
0,24,majority_vote,0,0.2,20
0,24,majority_vote,1,0.2,20
0,24,majority_vote,2,0.2,20
0,24,majority_vote,3,0.2,20
0,24,majority_vote,4,0.2,20
0,25,majority_vote,0,0.2,20
