members_per_class,run,aggregator,mean_utility,mean_fairness,mean_worst_group,mean_regret
3,0,majority_vote,0.436074238172721,0.9271066580328539,0.2877179854378528,-0.002231670390803068
3,0,oracle_upper_bound,0.4326282450419662,0.925107302997583,0.2819136418697686,-0.002231670390803068
3,0,self_consistency,0.436074238172721,0.9271066580328539,0.2877179854378528,-0.002231670390803068
3,0,ema_trust,0.436074238172721,0.9271066580328539,0.2877179854378528,-0.002231670390803068
3,0,trimmed_vote,0.436074238172721,0.9271066580328539,0.2877179854378528,-0.002231670390803068
3,0,multiplicative_weights,0.436074238172721,0.9271066580328539,0.2877179854378528,-0.002231670390803068
3,0,confidence_weighted,0.436074238172721,0.9271066580328539,0.2877179854378528,-0.002231670390803068
3,0,random_dictator,0.4326282450419662,0.925107302997583,0.2819136418697686,0.0012143227399518694
3,0,supervisor_rerank,0.4301605007449189,0.9247488037963236,0.2801511007174966,0.0036820670369991427
3,0,oracle,0.4338425677819179,0.9173450792049941,0.27112114420836625,0.0
3,1,majority_vote,0.420364852937078,0.9259521824823732,0.276421459925779,0.005925339661322763
3,1,oracle_upper_bound,0.42472021189212456,0.9271582887493517,0.28236033211265715,0.005925339661322763
3,1,self_consistency,0.420364852937078,0.9259521824823732,0.276421459925779,0.005925339661322763
3,1,ema_trust,0.420364852937078,0.9259521824823732,0.276421459925779,0.005925339661322763
3,1,trimmed_vote,0.420364852937078,0.9259521824823732,0.276421459925779,0.005925339661322763
3,1,multiplicative_weights,0.420364852937078,0.9259521824823732,0.276421459925779,0.005925339661322763
3,1,confidence_weighted,0.420364852937078,0.9259521824823732,0.276421459925779,0.005925339661322763
3,1,random_dictator,0.420364852937078,0.9259521824823732,0.276421459925779,0.005925339661322763
3,1,supervisor_rerank,0.42386239349988697,0.9254189626192094,0.27889836797513035,0.0024277990985137887
3,1,oracle,0.4262901925984008,0.9294494292750457,0.2842481351963881,0.0
3,2,majority_vote,0.40742796415409516,0.9240155402495095,0.2682413818562893,0.013236057347714379
3,2,oracle_upper_bound,0.4098205152270716,0.9230069612989396,0.26699155809715597,0.013236057347714379
3,2,self_consistency,0.40742796415409516,0.9240155402495095,0.2682413818562893,0.013236057347714379
3,2,ema_trust,0.40742796415409516,0.9240155402495095,0.2682413818562893,0.013236057347714379
3,2,trimmed_vote,0.40742796415409516,0.9240155402495095,0.2682413818562893,0.013236057347714379
3,2,multiplicative_weights,0.40742796415409516,0.9240155402495095,0.2682413818562893,0.013236057347714379
3,2,confidence_weighted,0.40742796415409516,0.9240155402495095,0.2682413818562893,0.013236057347714379
3,2,random_dictator,0.4162636213875813,0.9250528767214707,0.2750874709415776,0.0044004001142282385
3,2,supervisor_rerank,0.40742796415409516,0.9240155402495095,0.2682413818562893,0.013236057347714379
3,2,oracle,0.4206640215018095,0.9259280847209941,0.2744450930173135,0.0
5,0,majority_vote,0.4378363959929923,0.9242869079844055,0.28559089900631085,-0.00872922205684728
5,0,oracle_upper_bound,0.43907027362062034,0.9278286942637028,0.2894270059259613,-0.00872922205684728
5,0,self_consistency,0.4378363959929923,0.9242869079844055,0.28559089900631085,-0.00872922205684728
5,0,ema_trust,0.4378363959929923,0.9242869079844055,0.28559089900631085,-0.00872922205684728
5,0,trimmed_vote,0.4378363959929923,0.9242869079844055,0.28559089900631085,-0.00872922205684728
5,0,multiplicative_weights,0.4378363959929923,0.9242869079844055,0.28559089900631085,-0.00872922205684728
5,0,confidence_weighted,0.4378363959929923,0.9242869079844055,0.28559089900631085,-0.00872922205684728
5,0,random_dictator,0.4378363959929923,0.9242869079844055,0.28559089900631085,-0.00872922205684728
5,0,supervisor_rerank,0.4378363959929923,0.9242869079844055,0.28559089900631085,-0.00872922205684728
5,0,oracle,0.429107173936145,0.9210948704273271,0.27225105498779073,0.0
5,1,majority_vote,0.4209094435865931,0.9226163098597263,0.2706685158769816,0.011639169716903692
5,1,oracle_upper_bound,0.4323818563281454,0.9232595794461673,0.27921599281638804,0.011639169716903692
5,1,self_consistency,0.4209094435865931,0.9226163098597263,0.2706685158769816,0.011639169716903692
5,1,ema_trust,0.4209094435865931,0.9226163098597263,0.2706685158769816,0.011639169716903692
5,1,trimmed_vote,0.4209094435865931,0.9226163098597263,0.2706685158769816,0.011639169716903692
5,1,multiplicative_weights,0.4209094435865931,0.9226163098597263,0.2706685158769816,0.011639169716903692
5,1,confidence_weighted,0.4209094435865931,0.9226163098597263,0.2706685158769816,0.011639169716903692
5,1,random_dictator,0.4312967704480515,0.9252140768919135,0.27870820743927754,0.0012518428554453898
5,1,supervisor_rerank,0.4209094435865931,0.9226163098597263,0.2706685158769816,0.011639169716903692
5,1,oracle,0.43254861330349675,0.9244693037758932,0.2781109351289074,0.0
5,2,majority_vote,0.4246185679976357,0.9236419387614518,0.2821401733730973,-0.00832331565824813
5,2,oracle_upper_bound,0.4317540179862889,0.9245082603230846,0.28443241638648936,-0.00832331565824813
5,2,self_consistency,0.4246185679976357,0.9236419387614518,0.2821401733730973,-0.00832331565824813
5,2,ema_trust,0.4246185679976357,0.9236419387614518,0.2821401733730973,-0.00832331565824813
5,2,trimmed_vote,0.42663060410031495,0.9227852880653439,0.2815633559710457,-0.010335351760927296
5,2,multiplicative_weights,0.4246185679976357,0.9236419387614518,0.2821401733730973,-0.00832331565824813
5,2,confidence_weighted,0.4246185679976357,0.9236419387614518,0.2821401733730973,-0.00832331565824813
5,2,random_dictator,0.4246185679976357,0.9236419387614518,0.2821401733730973,-0.00832331565824813
